split,dòng gốc,lý do loại,văn bản (rút gọn)
train,4179,quảng cáo / tin nhắn nhà mạng,https://www.facebook.com/permalink.php?story_fbid=324040932861058&id=100057654609834&comment_id=324368179495000&notif_id=1636951765672033&notif_t=feedback_reaction_generic&ref=notif like và share hộ ạ
train,4188,chuỗi ký tự vô nghĩa (gibberish),Xinh nhóooooooooooooooooooooooooooooooo :)))))))))))
train,4231,chuỗi ký tự vô nghĩa (gibberish),Okeeeeeeeeeeeeee ạ ♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️
train,4284,quảng cáo / tin nhắn nhà mạng,"màu đẹp xỉu ngang luôn
[HOT] Nhanh tay dang ky ""No Miss Call"" - khong bo lo cuoc goi cua VNM, DV hoan toan MIEN PHI, hay dang ky ngay so dien thoai phu cua ban voi cu phap: DK [sdt] gui 925. Cung xem "
train,4311,chuỗi ký tự vô nghĩa (gibberish),Uhdfffgghgvvvvvvdyyysysysyszudffoogogififfffifudd77dyspd77ds66ddududduduufudduduudduududxuxyydydydduududud
train,4314,chuỗi ký tự vô nghĩa (gibberish),Qqqqqqqqqqqqqqqqqqqqqqqqqqqqqqkejdhekdisgbdxigwksohhewhhwyqekpod bxohqb tcn.  Dqqojbcp qgccnvqpjnkwq
train,4316,chuỗi ký tự vô nghĩa (gibberish),Bvffgghjijn. Cftyhbb.  Cdemiuhgfcvvgđ. Vfđghnn vghb cftghbghb vfhbnbfc
train,4323,quảng cáo / tin nhắn nhà mạng,Goi cuoc C90N cua Quy khach hien dang ky khong thanh cong do tai khoan cua Quy khach khong du de dang ky dich vu Mobile Internet cua MobiFone. Quy khach vui long nap them tien va soan tin DK C90N gui 
train,4380,quảng cáo / tin nhắn nhà mạng,"Viettel TB: Goi MI5D da duoc huy theo yeu cau cua Quy khach. De biet them thong tin ve cac goi Mobile Internet khac, vui long bam goi *098#. Chi tiet LH 198 (mien phi). Tran trong."
train,4385,chuỗi ký tự vô nghĩa (gibberish),Hbwiseh8qbaianah19bs7w8wh8sd8wjabgd8whwjshuheue73
train,4391,chuỗi ký tự vô nghĩa (gibberish),Đẹppppppplppppplpppppppppppppppppppppppppppppppppp
train,4437,chuỗi ký tự vô nghĩa (gibberish),BNnznxnnxnxmxkxkkxkxkxkdkkdkdkdkxkxkkxkxkxkxkck
train,4480,chuỗi ký tự vô nghĩa (gibberish),OkkkkkkkkkkkkkkkkkkkkkkkkkkkkOkkkkkkkkkkkkkkkkkkkkkkkkkkkk
train,4492,chuỗi ký tự vô nghĩa (gibberish),公共交通機関を利用することのデメリットはありますか？
train,4523,chuỗi ký tự vô nghĩa (gibberish),Ffffffffbfjgiiohodwhnxdwjpwxfwcfpqjpdnqprjnxnqpjdpncnpjqcnrpwjpqjrnjpnpjpvnjpncpjnwpfnjcnwjp giờgnpwnwjvcwfnpunpwjcwfconjcjoeoefchieifhheinfnihefienhfhiefifeicfehineinhininegehdndcijhojicwhiwdchdhicdc
train,4542,chuỗi ký tự vô nghĩa (gibberish),Đẹp.   Tuyệt vời huhuhuhhahahahaha huhuhuhhahahahaha huhuhuhhahahahaha huhuhuhhahahahaha
train,4545,chuỗi ký tự vô nghĩa (gibberish),Gsjshhshshssjdjdjjdbbdhdjdhddhdhhdhdhdhhrhrhdhhddh
train,4574,chuỗi ký tự vô nghĩa (gibberish),Xịnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
train,4637,chuỗi ký tự vô nghĩa (gibberish),Vahshhshshsshhdhhdhdhshsshshshshhshshshshshshshsshshhs
train,4638,chuỗi ký tự vô nghĩa (gibberish),"bshdbdndndkdjdj
bxnxndjdjdjdjjdjdjd
ndmdkdkdjdbdnddnnd"
train,4645,chuỗi ký tự vô nghĩa (gibberish),Okkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
train,4656,chuỗi ký tự vô nghĩa (gibberish),Hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
train,4665,quảng cáo / tin nhắn nhà mạng,(TB) GIÁNG SINH TỚI RỒI - NẠP THẺ NGAY THÔI! VinaPhone tặng riêng bạn ưu đãi 20% giá trị thẻ nạp (từ 20.000 đ) vào NGÀY MAI 21/12/2021 (giá trị khuyến mại được gọi/nhắn tin trong 15 ngày). Cơ hội nhận
train,4667,chuỗi ký tự vô nghĩa (gibberish),Sjhdkdkdjkđnjdjỳùudùkvkvvkvkgìifdydufjfkgkgogogiggigi
train,4744,chuỗi ký tự vô nghĩa (gibberish),MdfbakxbzmsndhksbfMmamsdmdnxbsbsvdvdvshakzicnddbxjdkiwkasnxbbdjanzndbdhsjsnskajsnxbxkakznxnxbdjskdjdnsbxaksjbxrbwkkanxxbmanxnsmqzz
train,4751,chuỗi ký tự vô nghĩa (gibberish),Son đepjjjjjjjjjjjjjjjjjjjjjjjjjjjsbsbdhbeehbeenmem
train,4766,chuỗi ký tự vô nghĩa (gibberish),"Chất son lì thơm, giá hợp lý fjdjdj djdjd kdjdj jdjdj jdjdj djdj nêh hdjx jdjdj"
train,4769,chuỗi ký tự vô nghĩa (gibberish),"Cxhfdzzifutsizfiilhiguf
Fhikjookknuihggzuiobnknbbh
Fziijztshrhfykgsk etitsjzjrjwtjrsrhrahtwjstnsgnfjfjtiezkezjwtjwtjwtjwtjqr"
train,4777,chuỗi ký tự vô nghĩa (gibberish),Vnskdnjdidndijdjdjdndjdjjfnfnnfnfnnfnfjfjjfjfjfjjfkfk
train,4820,chuỗi ký tự vô nghĩa (gibberish),Jejwndnanndnsndnandnnsnensnsnnennsnsnsndnndnwnsnsnsnsns
train,4823,chuỗi ký tự vô nghĩa (gibberish),UebsebxeuxbuxebinexieheuenxewiQllqLqIwnzienxkebuxebxixbwxbeixhwixbwxihwxuenix
train,4830,chuỗi ký tự vô nghĩa (gibberish),SPXVN021026839671khogofndndndndbewhwvwhavavavsvssvvsvs
train,4900,chuỗi ký tự vô nghĩa (gibberish),Hvdujosthesdd3ydhstshgybfheyioopi62af ivvbdvvbjdhrcdj
train,4940,chuỗi ký tự vô nghĩa (gibberish),hahahahahahahahhahahahahhahahahhahahahhahahahhahahahhahhahahahhahahaahahahahahahahahahahahahahahahahahaahahah🤟🤟
train,4962,chuỗi ký tự vô nghĩa (gibberish),Ygghg bhbjjnhdcb.     Cvdghh.   Hbijkyjghyfgbjjs hvnhibfb huhjbh
train,4979,chuỗi ký tự vô nghĩa (gibberish),mua iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
train,5053,chuỗi ký tự vô nghĩa (gibberish),bdbsjxnd dhxjsnsnskksd. dínndmdskkd jxnsjksndmx zjxjjsjdj
train,5079,chuỗi ký tự vô nghĩa (gibberish),Edbsbjsjsjxjdnnajsjzjajjajaisksnxnxnsjakjzjxjsjakzkzkxj
train,5113,chuỗi ký tự vô nghĩa (gibberish),Nậkakakakskskskqkdfjqkdinsqkdofjakkckrkakxcnakakxjkajx
train,5125,quảng cáo / tin nhắn nhà mạng,"Quy khach tiep tuc truy cap theo goi Mobile Internet dang su dung (neu co). De biet them thong tin ve cac goi Mobile Internet khac, vui long bam goi *098#. Chi tiet LH 198 (0d). Tran trong."
train,5150,chuỗi ký tự vô nghĩa (gibberish),Hausjsjsjdsjsjnsnsnana a d ndjdkdjejwjwjwnnwnwjwjwjjwjwk
train,5164,chuỗi ký tự vô nghĩa (gibberish),Ehhktuưuwtjrjqtjqtjqfbqjqtuâruqrjrqjwjâưuârjwgkquưuâ
train,5184,chuỗi ký tự vô nghĩa (gibberish),Ndhdhshhsvsvshahbsbshdhdbhdhdbdbdbdhudbshdbdbdbbdbdbdb
train,5234,chuỗi ký tự vô nghĩa (gibberish),Bcnsaosunjwaoqoqiwjehrjfdmswkwoqoqihdbdbdfnfnxkakajwhshdbxnxncbfjdkdkdkk
train,5237,chuỗi ký tự vô nghĩa (gibberish),sjijsjajshsjjssnsjxhzjhajajshsjzjznzjzhbzjzhzbzjzjzjn
train,5277,chuỗi ký tự vô nghĩa (gibberish),Euisbxiejwnakhzjduwbqnsidbbdjwiabxbdjwiiqnwnsnsns siwijdjddjjd
train,5292,chuỗi ký tự vô nghĩa (gibberish),Rất tốt. ₫:₫:&: síksnbshsjsnsnsmakajana ánnsjjsjssnsnns
train,5314,chuỗi ký tự vô nghĩa (gibberish),Hhasctfdwgujjitedhydcygvfswszxgggfewzcffrđrddddddd
train,5320,chuỗi ký tự vô nghĩa (gibberish),Cxfuryd udihotugxlufzuxjgxgxogxchcohc.     Gchk oihxgoxgoyohxohxohx
train,5336,chuỗi ký tự vô nghĩa (gibberish),gfsgjbgfhjbcđghbdrfhiutfđehjjgfrrtghhgffggggfdssfhjkufdshjkjd
train,5368,chuỗi ký tự vô nghĩa (gibberish),"Gghhhhjjv c  nmlopooihhvgdszzxfguuubbnmoohcdsszxcvhuiolmbvcf


Hvkincvjkvgknt"
train,5406,chuỗi ký tự vô nghĩa (gibberish),Nxjwnosmwjd dhs jsndkmdjsbca a. Snsjd gbr jcosowlkejebhdbvdbdjdksk
train,5452,chuỗi ký tự vô nghĩa (gibberish),DkekdbswnfjOwbfblxlawmfhpzjwjfpcnđndjdsbdkpswnlflxwn
train,5461,chuỗi ký tự vô nghĩa (gibberish),Hdbdbdvd. Gg bghdjjdjzbdbdhrjejdnnfbfbfbbjfnfbdbbbvv
train,5480,chuỗi ký tự vô nghĩa (gibberish),isisjsjsjsjjsjsjsjsksksjskjsskkskskskskssjksndksksjsj
train,5496,chuỗi ký tự vô nghĩa (gibberish),"Svbdmdksksksksmssjkskd
Djdkdkdkkdkdkđhdhhd"
train,5575,chuỗi ký tự vô nghĩa (gibberish),Bjkskskksmxnx x nsmwlwldokxkskwkwkekdkdkdkdkskwlwkekennemekekdkdkdkkrbbn  bjjkhđrtyuiooooiuhh
train,5686,chuỗi ký tự vô nghĩa (gibberish),Ndjjdjdndbdhdu ndjidjdbdbdhdusudnndidjdbdjsksindndjdjdhdbdn
train,5695,chuỗi ký tự vô nghĩa (gibberish),"Nnxksmsnzb ns
Nzjxnxnxnndkxkxnjx
Nsnsmxkskjznxjjzjxskdnsbxbbx
Nsnjsjdb"
train,5760,chuỗi ký tự vô nghĩa (gibberish),Hgsgkjdrjhhhddjrhhr ffdhsjsjsjsfbdbdkdldf demmw
train,5828,chuỗi ký tự vô nghĩa (gibberish),Cjcivosoaoajabsvsbjcicico ốcajbqbqbwbddbdbdjjdjcicicc
train,5831,quảng cáo / tin nhắn nhà mạng,"Quy khach da huy gia han goi cuoc MI5D, uu dai con lai duoc su dung den het chu ky. De tiep tuc su dung DV va lua chon goi Data phu hop, vui long truy cap https://myvt.page.link/kmdata tren My Viettel"
train,5899,chuỗi ký tự vô nghĩa (gibberish),Đỉnhhhhhhhhhhhhhhhhhhhhhhhh 🧏🏻‍♀️🧏🏻‍♀️🧏🏻‍♀️🧏🏻‍♀️🧏🏻‍♀️🧏🏻‍♀️
train,5922,quảng cáo / tin nhắn nhà mạng,Cơ hội sở hữu sản phẩm (CLIP THẬT) Đầm babydoll trễ vai dự tiệc đen tay bồng thắt dây nơ cổ được giảm 49%! Chỉ còn ₫149.000. Mua ngay trên Shopee! https://shopee.vn/product/88731403/4332979346?smtt=0.
train,5937,chuỗi ký tự vô nghĩa (gibberish),"...........................
............................"
train,5969,chuỗi ký tự vô nghĩa (gibberish),Sp tốtttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt
train,5999,chuỗi ký tự vô nghĩa (gibberish),xtydcjvkvkxidckcxhzzizgxlh hcotZjcjvkgjdjvkbkdydjvkbk
train,6037,chuỗi ký tự vô nghĩa (gibberish),Hdhdjdkkdjdjdbdbdhsjdjsksoksksjdndjdkdkkkkkkkkkdkdj
train,6084,quảng cáo / tin nhắn nhà mạng,[TB] DANG KY NGAY goi MAX200 de co 60GB data toc do cao thoa suc truy cap mang chi voi 200.000d/30 ngay. Het dung luong tiep tuc truy cap toc do thuong. Soan MAX200 gui 1311. Chi tiet LH 18001091 (0d)
train,6141,chuỗi ký tự vô nghĩa (gibberish),Dvdhudirbbb .....djdidididbd....ksksjd......ieieidjndnxnndncnnn
train,6255,quảng cáo / tin nhắn nhà mạng,"[TB] MỪNG NGÀY NHÀ GIÁO VIỆT NAM, VIETTEL TẶNG 20% GIÁ TRỊ TẤT CẢ THẺ NẠP trong ngày 20/11. Tiền KM sử dụng nội mạng đến hết 05/12/2021. Giảm thêm 3% khi nạp thẻ tại https://viettel.vn/pay/tt . C"
train,6260,chuỗi ký tự vô nghĩa (gibberish),Snnsnsssssdffdxđeeeeehwhwhhsbsnnsjsjjsjwjjehwjhehehhehehej
train,6262,chuỗi ký tự vô nghĩa (gibberish),👄👄🥺🥺🥺👄🥺🥰😚👄👄💋💋😄🍓😄🍓😄😄ndhđjjdjđjdjdjdjdjđnjdndnđndndbfb
train,6274,chuỗi ký tự vô nghĩa (gibberish),Kdmsndnnđndnsnsnnsnsnsnssnsnnsnsnsnssnsnnssnsnsnsnsn
train,6298,chuỗi ký tự vô nghĩa (gibberish),jsndbbxjk nxnnjdkxkk
train,6300,chuỗi ký tự vô nghĩa (gibberish),Đẹp jsjajajsjshshsshjajajaajajajhsghđhushahaggztxydyu
train,6329,chuỗi ký tự vô nghĩa (gibberish),"Jshdhsjshsjskjbdnykxnnxnxnxncn  
Djxjxnxnxnncncncbcnc bcnx c
Cjxjjxjc"
train,6335,chuỗi ký tự vô nghĩa (gibberish),"...............,'xnxnznnznzzzzzzzzzzmzmzmzmzmzmmzzm"
train,6343,chuỗi ký tự vô nghĩa (gibberish),Chdhffhfjfidieieiwsoodididididiididjfjchjf
train,6427,chuỗi ký tự vô nghĩa (gibberish),gooooooooooooooooooooooooopooopopppppopooooooooooooo
train,6473,chuỗi ký tự vô nghĩa (gibberish),Mskskksjsjsjksksjjskskskskksksksskjskskskskskkskskskks
train,6482,chuỗi ký tự vô nghĩa (gibberish),Nsnjsmskskskxkjxkxkxjsisisisnndndnsjsjsjsjsjnsnsnsnsns
train,6490,chuỗi ký tự vô nghĩa (gibberish),Djskajxndiaosksnaowkxndjsoakxbskaoanckapqbdfguwidjd
train,6529,chuỗi ký tự vô nghĩa (gibberish),Jsjwhbskdokwjwjdowhsbkskjwheokdbwbkwkwbsvvwjkdksbwhdkdjebwksbdv sksbvdksksnbsjksls sjbsbbsjskksksjdbjdhsjkwlansbsbjxksbsbks
train,6576,quảng cáo / tin nhắn nhà mạng,"(QC) Nhac cho doanh nghiep - Quang ba hinh anh, van hoa doanh nghiep hay gioi thieu san pham that de dang, dung muc tieu. Khoi tao mot lan, dung mai mai chi voi 550.000d. Soan ngay DN gui 1221 (mien p"
train,6634,chuỗi ký tự vô nghĩa (gibberish),Chokfxbkoitđcvhuuhvvôuggổègyuuụh
train,6895,chuỗi ký tự vô nghĩa (gibberish),"sbndfmmckfmd dớm s ds
shzn xnx cncuwkshsjl
bsujndndnfhiennf"
train,6896,chuỗi ký tự vô nghĩa (gibberish),"Hàngggggggggggggggggggggggggggggggg
Rấttttttttttttttttttttttttttttttttttttttttttttttttttttttttt
Làaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
Xinhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
Đẹppppppppppppppppppppppppppp"
train,6998,chuỗi ký tự vô nghĩa (gibberish),❤️qqqqqqqqweddccc❤️❤️❤️❤️❤️❤️❤️🎉🎉❤️❤️❤️❤️❤️❤️❤️❤️❤️
train,7011,chuỗi ký tự vô nghĩa (gibberish),Sangggggggggggggggggg xịnnnnnnnnnnn mịnnnnnnnnnnnnnnnnnnnn
train,7018,chuỗi ký tự vô nghĩa (gibberish),ohcoxttdhxlhđglxlgzfzgzlxocyttdưyfyfpucđjfpydtfpjcpjgpu
train,7097,chuỗi ký tự vô nghĩa (gibberish),Jcecjercejcexx ữexexhwđưq wdwdfjgjghjfg eudjdfjfjfdj rffffg rghdgdggggcdff gdetfsweqwgippjjgf hjhhhgghgdthhft
train,7104,quảng cáo / tin nhắn nhà mạng,"https://www.facebook.com/profile.php?id=100070832710495Sử dụng biểu tượng chỉnh sửa để ghim, thêm hoặc xóa đoạn.Chào mừng bạn đến với bảng nhớ tạm của Gboard, bất kỳ văn bản nào bạn sao chép sẽ được l"
train,7105,chuỗi ký tự vô nghĩa (gibberish),Qetyuncddfhjndjdndncbushaywbbdjgfkmtnfhshheuernfjfififgjnghnkykykebvahausjdfjkfgijgjgjfosndjd
train,7130,chuỗi ký tự vô nghĩa (gibberish),Vshwjkxhsbjwowohdbwvjsjxbbdnwbshdhhsbwbsbshshshshs
train,7143,chuỗi ký tự vô nghĩa (gibberish),Bhjjhjhhhyyfcvbbbbjhhhbbbbbbbbb bnhikiubcdeemnjijnnbb
train,7167,chuỗi ký tự vô nghĩa (gibberish),Ýudufjfhfhfhfhfjfitufjgigifydydydydhfhfhffjcjxjfjfjfififufufufjfjfigjfujch7yvygytvvttctcyvvÝudufjfhfhfhfhfjfitufjgigifydydydydhfhfhffjcjxjfjfjfififufufufjfjfigjfujch7yvygytvvttctcyvvÝudufjfhfhfhfhfjfi
train,7193,chuỗi ký tự vô nghĩa (gibberish),",g,cgvgdfhvb vfcvbb g gcvgbjj bffdfgytfxdycxxthcycttttx"
train,7254,chuỗi ký tự vô nghĩa (gibberish),"Màu 402,302 xinh xĩu á mng………………………………..jjjjjjjjjjjjjkkk"
train,7273,chuỗi ký tự vô nghĩa (gibberish),Nfkelosgkogpfpdpfkglfllfllflspaphkdllsldldkdkfkgkgjjnnn
train,7320,chuỗi ký tự vô nghĩa (gibberish),Hậhgaghssjksjdhdhdjdjjdidiiduducyyxyduduxuxjxjxjkxxj
train,7336,chuỗi ký tự vô nghĩa (gibberish),Ndnskndjsksosbebdkxksnskdkdsbkdkdsndnkdbfdf đnnkfkdndxjdnnsdkddndbbbbbbbbbbbbb
train,7412,chuỗi ký tự vô nghĩa (gibberish),",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
train,7584,chuỗi ký tự vô nghĩa (gibberish),"Hjdjjabsbsosjsbdbhfuowjebrjdhsbushdbksnsbxbdj
😍😍😍😍😍"
train,7595,chuỗi ký tự vô nghĩa (gibberish),Hshgsjjjkkjjjkjkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
train,7596,quảng cáo / tin nhắn nhà mạng,"Son mịn, mùi thơm nhẹ, lâu trôi.
Video+ hình ảnh mang tính chất nhận xu
[QC] Giam 3% khi thanh toan online cuoc di dong tra sau, internet, truyen hinh va nap tien cho thue bao tra truoc Viettel, moi"
train,7614,chuỗi ký tự vô nghĩa (gibberish),Okkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
train,7630,chuỗi ký tự vô nghĩa (gibberish),Yofoyfoycphfupfupfupxluxhlflhdupfpudupdhpdohdhodyldohdhodhlxyo
train,7686,chuỗi ký tự vô nghĩa (gibberish),Kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
train,7726,quảng cáo / tin nhắn nhà mạng,"[TB] DV Loi nhan thoai cua Viettel: Quy khach co cuoc goi nho tu TB 0389338802 vao luc 06:22 22/12/21. De gui loi nhan thoai, vui long bam goi 1620389338802 (cuoc phi 300d/1 loi nhan thoai)"
train,7745,chuỗi ký tự vô nghĩa (gibberish),Bbsnsnsnbsbsnbzbzbbznznznznbzbxbnxnxnxbbxbxbznnananxbbxbdnsnsnns
train,7783,chuỗi ký tự vô nghĩa (gibberish),Zhhshshssjsjsjwiwjbshwakakakkaajajjsjsjsnsnsnsnsnnsnsnananammananajajjajaiakakakakjahabsnanannanananans
train,7813,chuỗi ký tự vô nghĩa (gibberish),Jeueisisiaiaiaiaiaiaiaaaauuauauauwhwhwbbanzbznznznznznznsnss77wuwuwuwuquuqjajsjsjssjjsjsjzjzjzjzuzuz
train,7832,chuỗi ký tự vô nghĩa (gibberish),Hdhqhsudhwbjxhsbxjvhabhchebjaucbebxubwhxuebahhxbejsu
train,7842,chuỗi ký tự vô nghĩa (gibberish),Bsjsjbsoznsosbzoksnzisbavzyaks! Oz bn sinkznskbhdksnskhsbsoxbdisksjsbb
train,7846,chuỗi ký tự vô nghĩa (gibberish),Eghehehehehhehehehhehdhfbdbhdkekxhhxhdhdhdhhdhdhdhdhd
train,7883,chuỗi ký tự vô nghĩa (gibberish),"Kansbsjsj
Kakansnsjnsjsnsjsjsns
Kaknansjsnsnsnsnanan
Kanansnskksjsna
Kakkansjsnsnsn"
train,7899,quảng cáo / tin nhắn nhà mạng,"[QC] SAN SALE DE DANG, THANH TOAN DON GIAN CUNG VIETTEL MONEY & SENDO. Mua sam tai SENDO tien loi hon khi su dung tai khoan ViettelPay de thanh toan. Chi tiet tai https://vtmoney.onelink.me/314y/52e87"
train,7909,chuỗi ký tự vô nghĩa (gibberish),Okkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
train,7934,chuỗi ký tự vô nghĩa (gibberish),son màu đẹppppppppppppppppppppp dnxndjdbsjdbsidbdidbdjsbsudbsud
train,7961,chuỗi ký tự vô nghĩa (gibberish),Shksnebnekdlkdkdndleleldlldkdkenenmdkdkdkdkjdjdkdkdkkdkdldkdkkdkdkdkdkdkkdndndnkdldldlkdmdmdkdlldkdkdkdkkdldkdkdkkdkdkdkdkkdkdkdkdkkdkdkdkdkldldlldkdkdkdldkdkkdkdkdkkdkdkdkdkdkkdkdkkdkdkdkdkdkkdkdkdkk
train,7968,chuỗi ký tự vô nghĩa (gibberish),Msnjjjmossosnhhshshshhjsjsjzhdydhhdhdhdhdhdhdhdjdjdndnndkdkfjfjfjcjfjfj
train,7997,chuỗi ký tự vô nghĩa (gibberish),cnsjkdjcjlckckckfkfkkekrkfkvjfjfkfkkfjcjdklskfjfnkflgkgbjkwnfnnfmfkfjfnnfmfmfmgkgcnsjkdjcjlckckckfkfkkekrkfkvjfjfkfkkfjcjdklskfjfnkflgkgbjkwnfnnfmfkfjfnnfmfmfmgkg
train,8036,chuỗi ký tự vô nghĩa (gibberish),ttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt
train,8078,chuỗi ký tự vô nghĩa (gibberish),lkkkkkkkkkhhussuahahshshshshehshshshsshhsshshhshshwhwhshsehsh
train,8082,chuỗi ký tự vô nghĩa (gibberish),Jjsjskdksbdkdnsldndkdkdkekelekdndkekdkjekekekekekdkdkđkmkjj
train,8122,quảng cáo / tin nhắn nhà mạng,"Uu dai KHUNG danh rieng cho ban. ViettelPay tang ban Voucher giam 18.000d khi thanh toan cac dich vu: Dien, Nuoc, Nap dien thoai hoac thanh toan cuoc tra sau Viettel, mua Data, Internet và Truyen hinh"
train,8156,chuỗi ký tự vô nghĩa (gibberish),Tốtttttttttttttttttttttttttttttttttttttttttttttttttttt
train,8209,chuỗi ký tự vô nghĩa (gibberish),Okayyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
train,8218,chuỗi ký tự vô nghĩa (gibberish),Vchbcgb. Fjbcfuhfvkm fyvdvncgnbfdnjgbnjg kjhguj bgfgjjbbjnnhhunvggj
train,8235,chuỗi ký tự vô nghĩa (gibberish),"Công dụng: cjcnmzmdncnc
Kết cấu: cjcnvnm🍀
Jxncncdjcndnnanwv:vvdmmcmvmxnddjvn"
train,8307,chuỗi ký tự vô nghĩa (gibberish),Vcfghesnkysscjucfzhyrs5idktckgclhcirseayrzikfxkgxkfxfkxkfzfkxgkxkgxjfzjffjztitxitxtxiitz
train,8338,quảng cáo / tin nhắn nhà mạng,Chuc mung Quy Khach da dang ky thanh cong goi WAKAVNTUAN thuoc dich vu CARRIERBILLING cua VinaPhone. Quy Khach duoc mien cuoc ngay dau tien trai nghiem dich vu CARRIERBILLING. Sau khi het thoi han mie
train,8372,chuỗi ký tự vô nghĩa (gibberish),AiavavajoauGavajakqo9qư15tqgqvqmqlqpaisysv a samkaauatafvanakaiayaagaoan ávgxysua88aiabqvq nưkwosayahabkaa8a6aghakqpsxihanaos9
train,8373,quảng cáo / tin nhắn nhà mạng,"[CSKH] MobiFone trân trọng cám ơn Quý khách hàng đã luôn đồng hành và ủng hộ trong thời gian qua. Kính chúc Quý khách một năm mới hạnh phúc, may mắn, thành công."
train,8374,quảng cáo / tin nhắn nhà mạng,"[QC] Cùng SAO VIỆT thử tài với gameshow ""Vua Tiếng Việt"" vào 20h30 thứ 6 hàng tuần tại http://s.viettel.vn/vuatv. Soạn XN1 gửi 1331 để đăng ký xem thêm nhiều kênh truyền hình đặc sắc (Warner TV, Box H"
train,8407,chuỗi ký tự vô nghĩa (gibberish),Khchkcgjxjgxgxgjxhmxhmxmgxgkgkzgkxhckhcckxkgxhxkhckgcchckhxkhc
train,8493,chuỗi ký tự vô nghĩa (gibberish),Bdidbdb rfjfbbfbf fbrhfb fbf fbfhrbf fbfbr rbjfbrjr rhd rhrhr rjr rbr hr r rì r fjrbr fjrbf f fjrnjrjrrj
train,8500,chuỗi ký tự vô nghĩa (gibberish),Oaabsbskaiwahbsjsaiaudhhsoaoqiwjsjsososksksskwhhshdh
train,8562,chuỗi ký tự vô nghĩa (gibberish),djsjskdkkcixiejebdbdbdbehjddjdjdjwjieididididiisidjdj
train,8606,chuỗi ký tự vô nghĩa (gibberish),Gụvvbnmkmvghjnvbfcjn vc.  Bc nnjnmmkcbjkkm bmvvhn mmmn. Vbnn
train,8614,chuỗi ký tự vô nghĩa (gibberish),Wthkryk3tkt3kq5jqru3uetkeykeykfwhkeykeykeykdhkhdhdmhm
train,8637,chuỗi ký tự vô nghĩa (gibberish),Skksksnakwlmsbslsownbsosgmwbnwlapabbwlwp smsosnmsbsmdlos sons kslsnsiksnsosnw skksksk
train,8646,chuỗi ký tự vô nghĩa (gibberish),Vansjidiixgzuoskabhshhhfghhfdrhcsgkxsjvxubxsgjhcdhjb
train,8663,chuỗi ký tự vô nghĩa (gibberish),Gshsshhdh bsbshhhs gsgdgdjd hshshsh hdhdjjd
train,8698,quảng cáo / tin nhắn nhà mạng,"[TB] GỌI ĐIỆN, LÊN MẠNG GIÁ RẺ HƠN!
Gói V120C: Chỉ 120K/30 ngày có 60GB (2GB/ngày), MIỄN PHÍ 20p/cuộc gọi nội mạng (tối đa 1.000p), 50p ngoại mạng, miễn phí data truy cập TikTok.
Soạn V120C gửi 191 để"
train,8705,chuỗi ký tự vô nghĩa (gibberish),Hhdylzkgdlydlysludlufuldlydlybxgzkgzkgdlydypsylydhlxhclhdlydyldlydypsp éuldlhxlh
train,8722,chuỗi ký tự vô nghĩa (gibberish),"Công dụng: jsjjsjshjshsbbsbdbbdbdbbdbbdbdbbbd
Bdbdhshhsnnsbsbbs"
train,8747,chuỗi ký tự vô nghĩa (gibberish),Jejhsbajajanavsvbzzbhzjzjssjjajahababanajansnajajajansnsnsnsnsbzbs
train,8775,chuỗi ký tự vô nghĩa (gibberish),đơikqhdcflqjfspkqoqgdlqdhwljvdlqndcjsdjsljkgskvdldvskvs
train,8822,chuỗi ký tự vô nghĩa (gibberish),Quá tốt jdnbfbfkxndkzjzvdbsnsuzvz zbznjxnxbxvxvxvxvxvvxvzvzvxvzvzbzb
train,8877,chuỗi ký tự vô nghĩa (gibberish),Đẹp hgf hhsjsjs hdjjdjsjs hdjdjkdjd hdhjdjsks hdhdjjsjd veghdhs 
